日本語,英語,キー
すべてのエンティティ,All entities,argument.entity.selector.allEntities
すべてのプレイヤー,All players,argument.entity.selector.allPlayers
セレクタの種類が指定されていません,Missing selector type,argument.entity.selector.missing
最も近いエンティティ,Nearest entity,argument.entity.selector.nearestEntity
最も近いプレイヤー,Nearest player,argument.entity.selector.nearestPlayer
セレクタは許容されません,Selector not allowed,argument.entity.selector.not_allowed
ランダムなプレイヤー,Random player,argument.entity.selector.randomPlayer
実行したエンティティ,Current entity,argument.entity.selector.self
「%s」は不明なセレクタの種類です,Unknown selector type '%s',argument.entity.selector.unknown
単体のエンティティを指定してください、そのセレクタは複数体指定しています,"Only one entity is allowed, but the provided selector allows more than one",argument.entity.toomany
「%s」は無効な値です,"Invalid value \""%s\""",argument.enum.invalid
この浮動小数点数は%s以下でなくてはならないため、%sは適しません,"Float must not be more than %s, found %s",argument.float.big
この浮動小数点数は%s以上でなくてはならないため、%sは適しません,"Float must not be less than %s, found %s",argument.float.low
不明なゲームモードです：%s,Unknown game mode: %s,argument.gamemode.invalid
無効なIDです,Invalid ID,argument.id.invalid
不明なIDです：%s,Unknown ID: %s,argument.id.unknown
この整数は%s以下でなくてはならないため、%sは適しません,"Integer must not be more than %s, found %s",argument.integer.big
この整数は%s以上でなくてはならないため、%sは適しません,"Integer must not be less than %s, found %s",argument.integer.low
「%s」は不明なアイテムです,Unknown item '%s',argument.item.id.invalid
タグは許容されません、アイテムを指定してください,"Tags aren't allowed here, only actual items",argument.item.tag.disallowed
リテラル「%s」が必要です,Expected literal %s,argument.literal.incorrect
この64ビット整数は%s以下でなくてはならないため、%sは適しません,"Long must not be more than %s, found %s",argument.long.big
この64ビット整数は%s以上でなくてはならないため、%sは適しません,"Long must not be less than %s, found %s",argument.long.low
チャットメッセージが長すぎます（上限%2$s文字に対し%1$s文字）,Chat message was too long (%s > maximum %s characters),argument.message.too_long
「%s」は無効な配列です,Invalid array type '%s',argument.nbt.array.invalid
%sを%sの中に挿入できません,Can't insert %s into %s,argument.nbt.array.mixed
キーが必要です,Expected key,argument.nbt.expected.key
値が必要です,Expected value,argument.nbt.expected.value
%sを%sのリスト中に挿入できません,Can't insert %s into list of %s,argument.nbt.list.mixed
予期しない後続データです,Unexpected trailing data,argument.nbt.trailing
このコマンドはプレイヤーにのみ有効ですが、エンティティも指定されています,"Only players may be affected by this command, but the provided selector includes entities",argument.player.entities
単体のプレイヤーを指定してください、そのセレクタは複数体指定しています,"Only one player is allowed, but the provided selector allows more than one",argument.player.toomany
そのプレイヤーは存在しません,That player does not exist,argument.player.unknown
座標が必要です,Expected a coordinate,argument.pos.missing.double
ブロック座標が必要です,Expected a block position,argument.pos.missing.int
ワールド座標とローカル座標は混合できません（^を用いるか用いないかは統一する必要があります）,Cannot mix world & local coordinates (everything must either use ^ or not),argument.pos.mixed
その位置は許可された範囲外です。,That position is outside the allowed boundaries.,argument.pos.outofbounds
その位置はワールド外です,That position is out of this world!,argument.pos.outofworld
その座標は読み込まれていません,That position is not loaded,argument.pos.unloaded
値が不足しています（座標は2つの値が必要です）,Incomplete (expected 2 coordinates),argument.pos2d.incomplete
値が不足しています（座標は3つの値が必要です）,Incomplete (expected 3 coordinates),argument.pos3d.incomplete
値または値の範囲が必要です,Expected value or range of values,argument.range.empty
小数値は許容されません、整数値を指定してください,"Only whole numbers allowed, not decimals",argument.range.ints
最小値を最大値より大きくできません,Min cannot be bigger than max,argument.range.swapped
要素「%s」は不正な種類「%s」を持っています（もしかして：「%s」）,Element '%s' has wrong type '%s' (expected '%s'),argument.resource.invalid_type
タイプ「%2$s」の要素「%1$s」が見つかりませんでした,Can't find element '%s' of type '%s',argument.resource.not_found
構造の解析に失敗しました：%s,Failed to parse structure: %s,argument.resource_or_id.failed_to_parse
不正なIDあるいはタグです,Invalid id or tag,argument.resource_or_id.invalid
タグ「%s」は不正な種類「%s」を持っています（もしかして：「%s」）,Tag '%s' has wrong type '%s' (expected '%s'),argument.resource_tag.invalid_type
タイプ「%2$s」のタグ「%1$s」が見つかりませんでした,Can't find tag '%s' of type '%s',argument.resource_tag.not_found
値が不足しています（座標は2つ必要です）,Incomplete (expected 2 coordinates),argument.rotation.incomplete
関連するスコア保持者は見つかりませんでした,No relevant score holders could be found,argument.scoreHolder.empty
「%s」は不明な表示スロットです,Unknown display slot '%s',argument.scoreboardDisplaySlot.invalid
無効なスタイルです：%s,Invalid style: %s,argument.style.invalid
ティック値は正の値である必要があります,The tick count must be non-negative,argument.time.invalid_tick_count
無効な単位です,Invalid unit,argument.time.invalid_unit
ティック数は%1$s以上でなければいけませんが、%2$sが入力されています。,"The tick count must not be less than %s, found %s",argument.time.tick_count_too_low
無効なUUIDです,Invalid UUID,argument.uuid.invalid
「%s」は不明なブロックタグです,Unknown block tag '%s',arguments.block.tag.unknown
「%s」は不明な関数タグです,Unknown function tag '%s',arguments.function.tag.unknown
「%s」は不明な関数です,Unknown function %s,arguments.function.unknown
アイテムコンポーネントが必要です,Expected item component,arguments.item.component.expected
不正な「%s」のコンポーネントの形式です：%s,Malformed '%s' component: '%s',arguments.item.component.malformed
アイテムコンポーネント「%s」は一つしか指定できませんが、複数回指定されています,"Item component '%s' was repeated, but only one value can be specified",arguments.item.component.repeated
「%s」は不明なアイテムコンポーネントです,Unknown item component '%s',arguments.item.component.unknown
不正なアイテムの形式です：%s,Malformed item: '%s',arguments.item.malformed
%sは%sまでしかスタックができません,%s can only stack up to %s,arguments.item.overstacked
不正な「%s」の条件の形式です：%s,Malformed '%s' predicate: '%s',arguments.item.predicate.malformed
「%s」は不明なアイテム条件です,Unknown item predicate '%s',arguments.item.predicate.unknown
「%s」は不明なアイテムタグです,Unknown item tag '%s',arguments.item.tag.unknown
無効なNBTパスの要素です,Invalid NBT path element,arguments.nbtpath.node.invalid
%sに一致する要素がありません,Found no elements matching %s,arguments.nbtpath.nothing_found
NBTの入れ子構造の階層が深すぎます,Resulting NBT too deeply nested,arguments.nbtpath.too_deep
NBTが長すぎます,Resulting NBT too large,arguments.nbtpath.too_large
「%s」は不明なスコアボードのオブジェクトです,Unknown scoreboard objective '%s',arguments.objective.notFound
スコアボード%sは読み取り専用です,Scoreboard objective '%s' is read-only,arguments.objective.readonly
ゼロ除算はできません,Cannot divide by zero,arguments.operation.div0
無効な操作です,Invalid operation,arguments.operation.invalid
無効な組み合わせです。「x」「y」「z」の組み合わせであるべきです,"Invalid swizzle, expected combination of 'x', 'y' and 'z'",arguments.swizzle.invalid
%s %s,%s %s,attribute.modifier.equals.0
